"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:25 CST 2026","98","","test_sort_app","TestSortAppBasic","","","test_single_sort_bubble","bubble sort 排序 10 个元素"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufHeap","","","test_mmap_read_write","mmap 读写验证数据一致性 (test 2)"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufImporter","","","test_importer_process","完整导入 + 处理 + fence 流程 (test 6)"
"passed","Thu May 21 21:17:00 CST 2026","Thu May 21 21:17:00 CST 2026","106","","test_slt","TestSltTcpPort","","","test_tcp_port_9999_listening","确认 slt_daemon 在 TCP 9999 端口监听"
"passed","Thu May 21 21:17:27 CST 2026","Thu May 21 21:17:27 CST 2026","123","","test_system","TestMemory","","","test_total_memory","确认总内存大于 0"
"skipped","Thu May 21 21:15:47 CST 2026","Thu May 21 21:15:47 CST 2026","0","","test_dmabuf","TestDmaBufHeap","","","test_heap_basic_alloc_free","从 demo heap 分配 dma-buf 并释放 (test 1)"
"passed","Thu May 21 21:17:25 CST 2026","Thu May 21 21:17:25 CST 2026","128","","test_sort_app","TestSortAppAlgorithms","","","test_algorithm_sorted[insertion]","每种算法排序后验证结果有序"
"passed","Thu May 21 21:16:58 CST 2026","Thu May 21 21:16:58 CST 2026","2","","test_monitor","TestQEMUMonitor","","","test_query_version","查询 QEMU 版本"
"passed","Thu May 21 21:16:59 CST 2026","Thu May 21 21:16:59 CST 2026","228","","test_process","TestService","","","test_klogd_running","确认 klogd 服务运行"
"passed","Thu May 21 21:15:45 CST 2026","Thu May 21 21:15:45 CST 2026","300","","test_dmabuf","TestDmaBufModuleReload","","","test_module_stop_and_check","停止模块后确认 init 脚本执行成功

        Note: Linux 6.1 has no dma_heap_put(), so rmmod always fails for
        demo_heap. We verify the stop script ran, not that modules vanished.
        "
"passed","Thu May 21 21:15:43 CST 2026","Thu May 21 21:15:43 CST 2026","156","","test_cv_framework","TestCvTestList","","","test_list_has_groups","验证至少有一个 group 已注册"
